treatment_id,position,view_type,titration,amount_earlier,time_earlier,date_earlier,amount_later,time_later,date_later,max_amount,max_time,horizontal_pixels,vertical_pixels,left_margin_width_in,bottom_margin_height_in,graph_width_in,graph_height_in,width_in,height_in,comment
1,1,word,none,500,2,,1000,3,,1000,10,480,480,0.5,0.5,6,6,6.5,6.5,"Read 2001 example, absolute size"
2,1,barchart,none,500,2,,1000,3,,1000,10,480,480,0.5,0.5,6,6,6.5,6.5,"Read 2001 example, absolute size"
3,1,word,earlierAmount,500,2,,1000,3,,1000,10,480,480,0.5,0.5,6,6,6.5,6.5,"Read 2001 example, absolute size"
4,1,barchart,earlierAmount,500,2,,1000,10,,1000,10,480,480,0.5,0.5,6,6,6.5,6.5,"Read 2001 example, absolute size"
